#OTU ID	Blank1	Blank2	Blank3	Blank4	SS004	SS007	SS011	SS016	SS019	SS023	SS028	SS031	SS035	SS040	SS043	SS047	SS051	SS052	SS054	SS055	SS059	SS063	SS064	SS066	SS070	SS071	SS075	SS076	SS078	SS082	SS083	SS087	SS088	SS090	SS094	SS095
7cf957ce09ee76505e25f38e827bc16b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	382	0
ad9018f80e00f2ca4b48067195ac310d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	5	0	0	0	317	10	0	0	0	27	0
ed233623229790a57f7b78472223b483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106	0	0	0	0	113	0	0	0	0	120	0	0	0	0	31	0	0	0	0	0
5f056f2aace873fa76ebfd47963f3c14	0	0	0	0	350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
b8db84a5853b44a382ca34c868fd94f5	0	0	0	0	79	0	0	0	0	0	0	42	0	0	0	199	0	0	0	0	11	0	0	0	0	0	0	0	0	3	0	0	0	8	0	0
5f8d35126b0a7321413d21487ec72b73	0	0	0	0	0	0	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	223
d1184150f07b3655e9611cd2b3106e2f	0	0	0	0	0	0	0	0	0	0	24	0	0	20	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	284	0	0
d32e579b3ae7b2aae8d5bf9f027c29af	0	0	0	0	0	0	0	98	0	0	0	0	0	0	17	0	0	0	4	88	0	27	0	17	0	25	0	0	0	0	32	25	0	0	0	0
4370c8ad79594ebc1e4b02218aa56c6a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105	0	0	0	0	86	0	0	0	0	109	0	0	0	0	28	0	0	0	0	0
d15bd1dcb9de71d7452648673a59f5b8	0	0	0	0	0	0	0	41	0	0	0	0	0	0	190	0	0	0	0	0	0	52	0	0	0	0	24	0	0	0	0	0	0	0	0	0
350e617a4cba1313c301edd35ed2f159	0	0	0	0	0	0	0	0	0	0	0	307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11118d0ef7f7b766ff3e3512a38996fb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	307	0
e7b472b04c6dd3df27dd7dae7206ed0a	0	0	0	0	0	0	0	0	0	0	0	126	0	0	0	0	0	0	0	0	0	0	0	180	0	0	0	0	0	0	0	0	0	0	0	0
c503d3896ea45630537146307b1fdde0	0	0	0	0	0	0	0	14	0	0	0	0	0	215	0	0	0	11	0	0	0	0	0	0	0	0	0	30	0	0	0	32	0	0	0	0
e15c261035c6e70c7dd70a59bb80710a	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	98	0	0	0	0	119	0	0	0	0	0	0
dddf3f4996401c070a8b7ad646f2620f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144	0	0	0	0	139	0	0
918a78721a5a5bbc3aa8b9aea99a5c9c	0	0	0	0	0	0	0	0	0	0	0	0	281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dc8d362d42840d2fdb0513f1ec843861	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	229	0	0
debda29d401bc8ea6f446870664b5b3a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	29	0	0	0	38	41	10	0	0	3	105	0	0	0	24	21	0	0	0	0	0
9d5b4af82605d89eca66dc6be5e0fe3f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	276	0	0	0	0	0	0
796591cd9ef986732f7d4c1fd119ed25	0	0	0	0	54	0	31	0	0	0	22	0	0	0	0	15	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	139
f6c528c217081be9871de0fc58b89408	0	0	0	0	0	0	0	52	0	0	0	0	0	0	116	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0
fae96ba0e32190a2f18fa612fb3d8f08	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	164	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0
32c99ead10486b0b4c3cfc79c646c7e7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	261
1a669c45825c97b6d441de2a4deeb5da	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	111	0	0	0	58	0	0	0	41	24	0	0	0	0	0	0	0	0	0	0	0
4fbf9fc74b3f4f07d14313baf58fdba4	0	0	0	0	5	0	0	142	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	4	0	0	0	0	32	0	0	0	0
d6efd2da2728fd74ded268122ee05036	54	44	47	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b3fe77bd4d27e30779be9b5fbdcd84bd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	234	0
